identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,viewURL,query_datetime_utc,assigned_valueURI,prefName,ontoName,package_type,child_rm,parent_rm,parent_metadata_pid
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110719.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110720.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110721.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110722.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110723.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110724.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110725.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110726.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110727.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
doi:10.18739/A2BN9X32Q,smtFM02.qc.20110728.000000.cdf,lat,NA,north latitude,degree,https://search.dataone.org/view/doi:10.18739/A2BN9X32Q,2020-11-13T12:49:47Z,http://purl.dataone.org/odo/ECSO_00002130,latitude coordinate,The Ecosystem Ontology,too long to load,NA,NA,NA
