identifier,entityName,attributeName,attributeLabel,attributeDefinition,attributeUnit,propertyURI,valueURI,viewURL,query_datetime_utc,status,assigned_valueURI
doi:10.18739/A2VM42Z20,ARCSEES_AirportSite_2015_TBL3.7_AllCoordinates.csv,LATITUDE (DD),NA,Latitude of point surveyed in decimal degrees,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A2VM42Z20,2020-10-12T16:44:43Z,dp has at least one annotation,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/20066/2,FishscapeGeneticSiteLocations_csv,Latitude,Latitude,Latitude,NA,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/20066/2,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/20077/2,Dalton Highway Eriophorum vaginatum flowers mass per tiller 2016_csv,Lat,Lat,Latitude,degree,NA,NA,https://search.dataone.org/view/https://pasta.lternet.edu/package/metadata/eml/knb-lter-arc/20077/2,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:2c3d353f-9353-45c9-aeb6-d322171d6f78,2015_2017_CH4_surface_combined.csv,Latitude,NA,Latitude of water sample,dimensionless,NA,NA,https://search.dataone.org/view/urn:uuid:2c3d353f-9353-45c9-aeb6-d322171d6f78,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:1d74e61a-ad8c-411a-a204-0b9a04ce860c,Goldstream_Valley_Methane_Transport_Data.xlsx,Latitude,Latitude,This attribute is the latitude of the given location (LocID). The latitude is reported in decimal degrees in World Geodetic System 1984.,dimensionless,NA,NA,https://search.dataone.org/view/urn:uuid:1d74e61a-ad8c-411a-a204-0b9a04ce860c,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:68c94e7d-422f-4b09-8274-25e384cfef09,2015_2017_sediment_CH4.csv,Latitude,NA,Latitude where sampling was conducted,NA,NA,NA,https://search.dataone.org/view/urn:uuid:68c94e7d-422f-4b09-8274-25e384cfef09,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:56d1f42c-31d5-49e9-bea9-59a41b8045cd,Survey_LAI.csv,Latitude,Latitude north,GPS location,degree,NA,NA,https://search.dataone.org/view/urn:uuid:56d1f42c-31d5-49e9-bea9-59a41b8045cd,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:56d1f42c-31d5-49e9-bea9-59a41b8045cd,Survey_sites.kml,Latitude,Latitude north,GPS position,degree,NA,NA,https://search.dataone.org/view/urn:uuid:56d1f42c-31d5-49e9-bea9-59a41b8045cd,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
urn:uuid:8db1b253-40d2-4ce5-a47a-057dd9ec6adc,TOI BeaufortGyre 2013-2016,Latitude [degrees_north],latitude,"Latitude of sample:  (N, on scale of 0 to 90 degrees)",degree,NA,NA,https://search.dataone.org/view/urn:uuid:8db1b253-40d2-4ce5-a47a-057dd9ec6adc,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A23N20D4Q,2015J_Position_Data.csv,Latitude,NA,Buoy latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A23N20D4Q,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A23N20F45,Agashashok Random Point Classifications,lat_dd,Latitude,Latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A23N20F45,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A23G4F,itp33final.zip,latitude,NA,latitude where North is positive,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A23G4F,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A23G4F,itp33rawlocs.dat,latitude (N+),NA,Latitude where North is positive,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A23G4F,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
doi:10.18739/A23B5W75R,2013F_Position_Data.csv,Latitude,NA,Buoy latitude in decimal degrees,degree,NA,NA,https://search.dataone.org/view/doi:10.18739/A23B5W75R,2020-11-13T12:49:47Z,dp was never annotated,http://purl.dataone.org/odo/ECSO_00002130
