child_rm,parent_rm,parent_metadata_pid
resource_map_doi:10.18739/A20531,resource_map_doi:10.18739/A2251FK97,doi:10.18739/A2251FK97
resource_map_urn:uuid:618d69a4-4a05-407f-b657-aa243c334a80,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_urn:uuid:0feeece5-57e6-417b-8c2d-f8dc143de6e6,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2N82K,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2HK0P,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A20J8Q,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2F54F,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2R246,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2HJ9R,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2925J,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2S24H,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2WR63,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A21J9D,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2581V,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2TG1T,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2DR6R,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_urn:uuid:d0cc13b7-72b1-45be-b2a3-ad958a5eb4d1,resource_map_doi:10.18739/A2154DQ03,doi:10.18739/A2154DQ03
resource_map_doi:10.18739/A2253N,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_doi:10.18739/A2NV6Z,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_doi:10.18739/A2PV5W,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
resource_map_doi:10.18739/A2J52M,resource_map_doi:10.18739/A2348GH1H,doi:10.18739/A2348GH1H
